id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
35406,Acidente,2022-12-07,BRAGANÇA PAULISTA,SP,Sudeste,PIPER AIRCRAFT,PA-18
35406,Acidente,2022-12-07,BRAGANÇA PAULISTA,SP,Sudeste,PIPER AIRCRAFT,PA-18
35607,Acidente,2022-12-22,"Fazenda Floresta, Brasnorte",MT,Centro-Oeste,AIR TRACTOR,AT-502A
35607,Acidente,2022-12-22,"Fazenda Floresta, Brasnorte",MT,Centro-Oeste,AIR TRACTOR,AT-502A
31212,Incidente,2021-09-24,ARIQUEMES,RO,Norte,EMBRAER,EMB-505
31212,Incidente,2021-09-24,ARIQUEMES,RO,Norte,EMBRAER,EMB-505
31587,Incidente,2022-03-24,SÃO PAULO,SP,Sudeste,EMBRAER,EMB-810C
31567,Incidente Grave,2022-03-09,RIO DE JANEIRO,RJ,Sudeste,CESSNA AIRCRAFT,150M
31575,Incidente,2022-03-10,PETROLINA,PE,Nordeste,EMBRAER,ERJ 190-200 LR
31747,Incidente,2022-04-08,CARAUARI,AM,Norte,CESSNA AIRCRAFT,208B
32066,Ocorrência Anormal,2022-05-12,SANTARÉM,PA,Norte,CESSNA AIRCRAFT,208B
32326,Incidente,2022-06-08,SERRA TALHADA,PE,Nordeste,CESSNA AIRCRAFT,208B
32166,Incidente,2022-05-16,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A320-253N
32167,Incidente,2022-05-17,BELÉM,PA,Norte,AIRBUS S.A.S.,A321-251NX
32168,Incidente,2022-04-27,RIO DE JANEIRO,RJ,Sudeste,,
32168,Incidente,2022-04-27,RIO DE JANEIRO,RJ,Sudeste,,
32309,Acidente,2021-11-28,PARANATINGA,MT,Centro-Oeste,NEIVA,EMB-202
32327,Incidente Grave,2022-06-07,ILICÍNEA,MG,Sudeste,ROBERTO BRITO,CH 601 XL
32327,Incidente Grave,2022-06-07,ILICÍNEA,MG,Sudeste,ROBERTO BRITO,CH 601 XL
32366,Ocorrência Anormal,2022-06-08,LUZIÂNIA,GO,Centro-Oeste,NEIVA,EMB-711B
32426,Incidente,2022-06-10,SÃO PAULO,SP,Sudeste,PIPER AIRCRAFT,PA-34-220T
32427,Incidente Grave,2022-06-11,IBITINGA,SP,Sudeste,CESSNA AIRCRAFT,170B
32427,Incidente Grave,2022-06-11,IBITINGA,SP,Sudeste,CESSNA AIRCRAFT,170B
30428,Acidente,2021-11-21,RIO CLARO,SP,Sudeste,FLYER INDÚSTRIA AERONÁUTICA LTDA.,RV-9A
30428,Acidente,2021-11-21,RIO CLARO,SP,Sudeste,FLYER INDÚSTRIA AERONÁUTICA LTDA.,RV-9A
31548,Incidente,2022-03-06,GUARULHOS,SP,Sudeste,AIRBUS S.A.S.,A320-214
39315,Incidente,2023-09-11,CAMPO GRANDE,MT,Centro-Oeste,YABORA INDUSTRIA AERONAUTICA S.A,ERJ 190-400
40146,Incidente,2023-10-27,RIO DE JANEIRO,RJ,Sudeste,,
40147,Incidente,2023-08-05,SÃO PAULO ,SP,Sudeste,AIRBUS S.A.S.,A320-214
41054,Incidente,2023-10-22,BRASÍLIA ,DF,Centro-Oeste,BOEING COMPANY,737-8EH
37135,Incidente Grave,2023-04-30,VÁRZEA GRANDE,MT,Centro-Oeste,NEIVA,EMB-721D
37135,Incidente Grave,2023-04-30,VÁRZEA GRANDE,MT,Centro-Oeste,NEIVA,EMB-721D
38374,Incidente,2023-08-10,SÃO JOSÉ DO RIO PRETO ,SP,Sudeste,PIPER AIRCRAFT,PA-46-500TP
38827,Ocorrência Anormal,2023-09-16,PRIMAVERA DO LESTE ,MT,Centro-Oeste,BEECH AIRCRAFT,A36
38829,Incidente,2023-09-12,RIBEIRÃO PRETO ,SP,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A
38989,Incidente,2023-04-14,SÃO PAULO,SP,Sudeste,BOEING COMPANY,737-8EH
39007,Incidente,2023-08-02,MANAUS,AM,Norte,AIRBUS S.A.S.,A321-251NX
39008,Incidente,2023-09-18,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A320-251N
39191,Incidente,2023-09-05,GUARULHOS,SP,Sudeste,AIRBUS S.A.S.,A320-214
39217,Incidente,2023-08-29,VÁRZEA GRANDE,MT,Centro-Oeste,AIRBUS S.A.S.,A320-251N
39313,Incidente,2023-10-08,CAMPINAS ,SP,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600)
39369,Incidente,2023-09-09,CAMPINAS,SP,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A (600)
40874,Acidente,2023-11-30,PALMEIRA DAS MISSÕES ,RS,Sul,NEIVA,EMB-201A
40874,Acidente,2023-11-30,PALMEIRA DAS MISSÕES ,RS,Sul,NEIVA,EMB-201A
41302,Incidente,2023-11-25,GUARULHOS ,SP,Sudeste,BOEING COMPANY,737-8EH
41303,Incidente,2023-11-21,RIO DE JANEIRO ,RJ,Sudeste,BOEING COMPANY,737-8 MAX
